Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-28 00:00:00+05:30,34.51683860489503,34.51683860489503,28.560254203605,28.912946701049805,5724,0.0,0.0
2006-12-29 00:00:00+05:30,29.7829215725263,30.096426010131836,29.18726266270596,30.096426010131836,1100,0.0,0.0
2007-01-02 00:00:00+05:30,29.939673791329067,30.237502050314713,29.790759661836244,30.096426010131836,540,0.0,0.0
2007-01-03 00:00:00+05:30,29.626174926757812,29.626174926757812,29.626174926757812,29.626174926757812,300,0.0,0.0
2007-01-04 00:00:00+05:30,25.080352386870942,31.26422629388905,25.080352386870942,30.1747989654541,400,0.0,0.0
2007-01-05 00:00:00+05:30,30.08074951171875,30.08074951171875,30.08074951171875,30.08074951171875,100,0.0,0.0
2007-01-08 00:00:00+05:30,30.08074951171875,30.08074951171875,30.08074951171875,30.08074951171875,0,0.0,0.0
2007-01-09 00:00:00+05:30,34.27387168448604,34.27387168448604,28.23107556311849,30.096426010131836,3952,0.0,0.0
2007-01-10 00:00:00+05:30,31.00558743246239,32.75337360685596,29.704543618809655,29.775081634521484,1720,0.0,0.0
2007-01-11 00:00:00+05:30,29.32050133936653,30.786133066782284,29.32050133936653,29.344013214111328,2660,0.0,0.0
2007-01-12 00:00:00+05:30,28.717005140128492,30.848836208284983,28.717005140128492,29.312664031982422,2760,0.0,0.0
2007-01-15 00:00:00+05:30,29.00699570878488,29.077533721923828,29.00699570878488,29.077533721923828,800,0.0,0.0
2007-01-16 00:00:00+05:30,29.07753477082433,29.751569747924805,25.08035344114228,29.751569747924805,7200,0.0,0.0
2007-01-17 00:00:00+05:30,30.55883782205699,30.55883782205699,29.547786712646484,29.547786712646484,320,0.0,0.0
2007-01-18 00:00:00+05:30,30.527490387573238,30.527490387573238,29.767241274840273,30.378576278686523,880,0.0,0.0
2007-01-19 00:00:00+05:30,29.7829215725263,30.096426010131836,29.077536587913833,30.096426010131836,180,0.0,0.0
2007-01-22 00:00:00+05:30,28.215395430443994,28.215395430443994,25.738710242068613,27.823514938354492,28000,0.0,0.0
2007-01-23 00:00:00+05:30,26.734092712402344,27.40812776483456,26.64787850944314,26.734092712402344,5064,0.0,0.0
2007-01-24 00:00:00+05:30,25.958168648343413,26.953543812519506,25.958168648343413,26.404911041259766,9200,0.0,0.0
2007-01-25 00:00:00+05:30,26.804628009773037,31.107475711919452,26.4911235886061,27.110294342041016,19600,0.0,0.0
2007-01-29 00:00:00+05:30,27.90189318154839,27.90189318154839,27.447312732521148,27.60406494140625,2600,0.0,0.0
2007-01-31 00:00:00+05:30,27.30623123199999,27.729461669921875,27.274881272125892,27.729461669921875,1324,0.0,0.0
2007-02-01 00:00:00+05:30,27.118131399496725,27.314071655273434,27.118131399496725,27.314071655273438,492,0.0,0.0
2007-02-02 00:00:00+05:30,27.43163714225214,29.391039795270146,27.141644592865894,27.4708251953125,3520,0.0,0.0
2007-02-05 00:00:00+05:30,27.43163838748086,27.43163838748086,27.274886168123825,27.3924503326416,1860,0.0,0.0
2007-02-06 00:00:00+05:30,27.118126912958516,28.52889652114711,25.080348590019437,26.914348602294922,4000,0.0,0.0
2007-02-07 00:00:00+05:30,26.24031919720308,27.27488474782569,26.24031919720308,26.9770565032959,2972,0.0,0.0
2007-02-08 00:00:00+05:30,26.647873145307422,27.11812973022461,26.640035057189063,27.11812973022461,2568,0.0,0.0
2007-02-09 00:00:00+05:30,26.389233886287133,27.118130661192396,26.334369659423828,26.334369659423828,3864,0.0,0.0
2007-02-12 00:00:00+05:30,25.864112854003906,25.864112854003906,25.864112854003906,25.864112854003906,80,0.0,0.0
2007-02-13 00:00:00+05:30,28.3721425627682,28.3721425627682,26.177612198797178,27.016237258911133,3080,0.0,0.0
2007-02-14 00:00:00+05:30,26.177621841430664,26.177621841430664,26.177621841430664,26.177621841430664,400,0.0,0.0
2007-02-15 00:00:00+05:30,26.49112357711574,27.102456241386538,26.49112357711574,27.086782455444336,552,0.0,0.0
2007-02-19 00:00:00+05:30,26.185455547457554,26.334369659423828,26.185455547457554,26.334369659423828,800,0.0,0.0
2007-02-20 00:00:00+05:30,26.334369659423828,26.334369659423828,26.334369659423828,26.334369659423828,0,0.0,0.0
2007-02-21 00:00:00+05:30,26.491120267099102,26.491120267099102,26.028701782226562,26.028701782226562,200,0.0,0.0
2007-02-22 00:00:00+05:30,26.334369659423828,26.334369659423828,25.511420607566833,26.334369659423828,16,0.0,0.0
2007-02-23 00:00:00+05:30,25.088191607482408,27.43163666101037,25.088191607482408,26.616525650024414,1404,0.0,0.0
2007-02-26 00:00:00+05:30,27.345418978870413,27.345418978870413,25.135214542113214,25.237102508544922,320,0.0,0.0
2007-02-27 00:00:00+05:30,25.550607681274414,25.550607681274414,25.550607681274414,25.550607681274414,200,0.0,0.0
2007-02-28 00:00:00+05:30,25.001981049344696,30.245342740884443,24.296596004065382,25.48007583618164,2788,0.0,0.0
2007-03-01 00:00:00+05:30,24.923602936760133,25.62898792553636,24.853064916252322,25.566287994384766,1200,0.0,0.0
2007-03-02 00:00:00+05:30,24.931437653281307,24.9549495263201,24.923599564985462,24.93927574157715,2660,0.0,0.0
2007-03-05 00:00:00+05:30,24.931441388126196,26.640039651231543,23.591209411621094,23.591209411621094,3200,0.0,0.0
2007-03-06 00:00:00+05:30,23.826337076822917,26.177620340983076,23.512832641601562,23.512832641601562,4724,0.0,0.0
2007-03-07 00:00:00+05:30,22.783933169989943,23.82633434065406,22.744745120087554,23.520668029785156,860,0.0,0.0
2007-03-08 00:00:00+05:30,23.520668029785156,23.520668029785156,23.520668029785156,23.520668029785156,0,0.0,0.0
2007-03-09 00:00:00+05:30,23.066082308062526,23.066082308062526,23.058246612548828,23.058246612548828,200,0.0,0.0
2007-03-12 00:00:00+05:30,22.462594331640062,22.964200973510742,22.462594331640062,22.964200973510742,8,0.0,0.0
2007-03-13 00:00:00+05:30,23.512829867276277,25.864112854003906,23.512829867276277,25.864112854003906,160,0.0,0.0
2007-03-14 00:00:00+05:30,26.177621841430664,26.177621841430664,26.177621841430664,26.177621841430664,60,0.0,0.0
2007-03-15 00:00:00+05:30,25.080354026866182,25.86411509020575,22.96419915584935,25.001977920532227,1840,0.0,0.0
2007-03-16 00:00:00+05:30,25.001977920532227,25.001977920532227,25.001977920532227,25.001977920532227,0,0.0,0.0
2007-03-19 00:00:00+05:30,23.356081279631585,24.296594619750977,23.356081279631585,24.296594619750977,800,0.0,0.0
2007-03-20 00:00:00+05:30,23.512834310531616,25.08035659790039,23.512834310531616,25.08035659790039,400,0.0,0.0
2007-03-21 00:00:00+05:30,23.536345379748155,24.923603513163904,23.536345379748155,24.296594619750977,12400,0.0,0.0
2007-03-22 00:00:00+05:30,24.610095307468985,25.23710410511151,24.531719207763672,24.531719207763672,500,0.0,0.0
2007-03-23 00:00:00+05:30,23.66958348256237,24.923601150512695,23.66958348256237,24.923601150512695,400,0.0,0.0
2007-03-26 00:00:00+05:30,25.158728037335372,25.158728037335372,23.520668029785156,23.520668029785156,500,0.0,0.0
2007-03-28 00:00:00+05:30,24.139841079711918,24.139841079711918,23.520670309608583,24.139841079711914,268,0.0,0.0
2007-03-29 00:00:00+05:30,23.990927478818662,24.304431915283203,23.990927478818662,24.304431915283203,372,0.0,0.0
2007-03-30 00:00:00+05:30,24.139839675053338,25.707361731874983,24.139839675053338,24.994138717651367,4400,0.0,0.0
2007-04-02 00:00:00+05:30,24.76684967210821,24.76684967210821,24.296593032764385,24.31226921081543,1000,0.0,0.0
2007-04-03 00:00:00+05:30,24.139842259256465,24.139842259256465,23.826337814331055,23.826337814331055,580,0.0,0.0
2007-04-04 00:00:00+05:30,23.826337814331055,23.826337814331055,23.826337814331055,23.826337814331055,0,0.0,0.0
2007-04-05 00:00:00+05:30,24.139837182086445,25.237102508544922,24.139837182086445,25.237102508544922,400,0.0,0.0
2007-04-09 00:00:00+05:30,24.29659012636524,25.550607681274414,24.29659012636524,25.550607681274414,400,0.0,0.0
2007-04-10 00:00:00+05:30,25.393854141235348,25.393854141235348,25.393854141235348,25.39385414123535,580,0.0,0.0
2007-04-11 00:00:00+05:30,25.237099103771726,25.237099103771726,24.296586093693275,24.39063835144043,4000,0.0,0.0
2007-04-12 00:00:00+05:30,24.296594619750977,24.296594619750977,24.296594619750977,24.296594619750977,800,0.0,0.0
2007-04-13 00:00:00+05:30,24.139841079711918,24.139841079711918,24.139841079711918,24.139841079711914,100,0.0,0.0
2007-04-16 00:00:00+05:30,24.445507049560547,24.445507049560547,24.445507049560547,24.445507049560547,200,0.0,0.0
2007-04-17 00:00:00+05:30,23.826337949401644,24.853065490722656,23.826337949401644,24.853065490722656,1140,0.0,0.0
2007-04-18 00:00:00+05:30,24.453348159790043,24.453348159790043,24.453348159790043,24.45334815979004,100,0.0,0.0
2007-04-19 00:00:00+05:30,24.296589119602167,24.45334130747057,24.296589119602167,24.4219913482666,760,0.0,0.0
2007-04-20 00:00:00+05:30,24.421991348266605,24.421991348266605,24.421991348266605,24.4219913482666,0,0.0,0.0
